id;zipcode;street_number;latitude;longitude;residents
4f81c46e-709c-4474-9457-ebd2770c91e1;"73228039";854;-21.252438840426783;-44.94761698232252;2
b4d697ae-c5b4-4ecc-be24-04d90f0033b3;"86851698";854;-21.257428174319702;-44.98111546213145;6
c8506b79-70e2-486c-b057-19ae0c65e07d;"75484658";854;-21.20770852934075;-44.949998291017714;1
23da8fdc-3405-43d8-a447-6dfb720bbf04;"15946371";854;-21.200302701281074;-44.918891217756;7
988fea2a-7de3-49e2-801b-bfd103e7be90;"71007159";854;-21.267323784124673;-44.97103169159141;4
79286fc6-41c6-4f62-a7cb-1efe925c4158;"80505672";854;-21.27848113558274;-44.9403954518187;4
d9f6f2ef-028b-4762-a495-d035ba644691;"89277190";854;-21.297197715534252;-44.97524965252255;1
525880cc-af86-4711-a933-764a7bed0c8c;"42582339";854;-21.258102258145864;-44.9943518954133;4
e3345a12-65c8-4964-97df-536a0c7e7314;"51175844";854;-21.27846519564797;-44.904886427048545;8
260ea3d9-d294-4725-b642-14681b05dda2;"60179142";854;-21.242774732870035;-44.98367210287578;1
9bdb6dfe-58b4-4c70-912f-1f49fa3100d6;"73228039";854;-21.232748352382287;-44.934119508543226;2
4269153b-2fe0-4569-b829-58bc133138ca;"86851698";854;-21.215799178788323;-44.94389377904384;6
d1b680cb-5191-4cd3-9309-87a507674109;"75484658";854;-21.261438903463687;-44.98430940186442;1
f4147e01-08e7-4020-837b-726b8927add5;"15946371";854;-21.202460566759906;-44.928151066300224;7
621c62a2-d005-4ef1-b964-b77d69ddeffb;"71007159";854;-21.298687680950077;-44.94738845591833;4
3b1abb56-f09d-4ed8-bf4c-7e83ae13ad03;"80505672";854;-21.255391705420023;-44.98397301595633;4
aac0d1b3-ec5e-4c76-84b3-19755bbc2a0b;"89277190";854;-21.201620881216402;-44.92116039865451;1
b254a07d-a14e-43eb-8e67-9b750a064009;"42582339";854;-21.21684565660872;-44.96520609538296;4
c716a16a-ba9d-4f0a-a128-800456670410;"51175844";854;-21.23127927621279;-44.97946192312848;8
d9d8005c-940c-4537-afe8-0237b5099e1f;"60179142";854;-21.268935765839518;-44.91407363857486;1
6430218f-37c8-4eb9-adc1-90e8f1a8951f;"73228039";854;-21.25361248391014;-44.925132238000295;2
1801d888-0100-4730-8b8b-de22e43f585d;"86851698";854;-21.20271830333454;-44.94870310100049;6
e3700459-7c1e-4d36-8e14-72c9320df152;"75484658";854;-21.209508971965366;-44.981163509713724;1
b73ecce5-a73e-42f4-95f8-a9a1504c0844;"15946371";854;-21.291903117151622;-44.91315710568675;7
84e83ff1-e1e1-4df7-9dac-79788f6ad0cf;"71007159";854;-21.255978253746895;-44.916878623042166;4
e3322512-da69-46eb-b21c-e7ff056fc449;"80505672";854;-21.27741008262734;-44.983384659532824;4
d2001e34-a620-48d2-b3b0-2ca57abf3670;"89277190";854;-21.21544937141324;-44.93331435507616;1
9e0ddb0d-68f3-47bf-aa95-916291e8d2ff;"42582339";854;-21.24283685830554;-44.923783075996305;4
a3c8c167-87e7-407f-bbb2-24285bf99612;"51175844";854;-21.23819101082902;-44.97195993536464;8
cfe71102-fa0a-4f70-8788-609ff7d0521a;"60179142";854;-21.239898321023946;-44.955606655045706;1
a858c240-5369-4586-a946-c7d33f7313c8;"73228039";854;-21.240856713099866;-44.954587762684135;2
ea0558bd-58e0-419e-853f-b4f927bb6358;"86851698";854;-21.28182934756963;-44.97429722421626;6
d033c9a1-7dce-453b-96d1-7c5ca25f9f79;"75484658";854;-21.25122598318476;-44.90542185534455;1
af67d96e-5f0f-49e8-a2da-d4e78276a774;"15946371";854;-21.272093036319087;-44.99790628327976;7
718cdea0-3684-459d-a17a-08622b2bddd6;"71007159";854;-21.273637294708162;-44.979696304078395;4
57748658-fb5e-42a8-ab2c-a44f3912aee0;"80505672";854;-21.20368366809147;-44.9878424365581;4
5748a31f-74ae-43aa-b105-a5a511e7aaa1;"89277190";854;-21.216020573554366;-44.93619585732419;1
28f17fbc-5c7a-45a9-93f3-c2023a1ec2cc;"42582339";854;-21.275316568715268;-44.9253251774563;4
59e72963-16b2-4adb-9de0-845c5329c0c6;"51175844";854;-21.2798547899568;-44.99132448907232;8
537dd288-2bd8-4c58-bfe9-6b432ffae23e;"60179142";854;-21.268473703177956;-44.968491326730664;1
53d456de-996d-41bc-913f-00ebc93b50f2;"73228039";854;-21.20838626722772;-44.99978080118862;2
484a835b-3115-4874-9e0a-649e4a522de5;"86851698";854;-21.242438322616415;-44.99898852625582;6
6b9e36ac-372b-4875-9183-b3210c65e2c6;"75484658";854;-21.222724135773258;-44.93041485001334;1
